codi RS,descripcio RS,població oficial
61,Lleida,365322.0
62,Camp de Tarragona,614830.0
63,Terres de l'Ebre,178112.0
64,Girona,870481.0
67,Catalunya Central,531073.0
71,Alt Pirineu i Aran,68518.0
78,Barcelona,5068733.0
