codi RS,descripcio RS,població oficial,prevalència,incidència
61,Lleida,365322.0,1992.0,133.0
62,Camp de Tarragona,614830.0,3353.0,223.0
63,Terres de l'Ebre,178112.0,971.0,65.0
64,Girona,870481.0,4747.0,316.0
67,Catalunya Central,531073.0,2896.0,193.0
71,Alt Pirineu i Aran,68518.0,374.0,25.0
78,Barcelona,5068733.0,27640.0,1840.0
